bibtype	author	title	booktitle	month	year	address	publisher	pages	url	note
book		MT Researchers’ Track	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W18-18	Entire Volume
inproceedings	Arianna Bisazza	Keynote: Unveiling the Linguistic Weaknesses of Neural MT	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W18-1801	Keynote not in collective proceeding
inproceedings	Laura Jehl; Stefan Riezler	Document-Level Information as Side Constraints for Improved Neural Patent Translation	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--12	http://www.aclweb.org/anthology/W18-1802	
inproceedings	Marianna J. Martindale; Marine Carpuat	Fluency Over Adequacy: A Pilot Study in Measuring User Trust in Imperfect MT	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	13--25	http://www.aclweb.org/anthology/W18-1803	
inproceedings	Rajen Chatterjee; Matteo Negri; Marco Turchi; Frédéric Blain; Lucia Specia	Combining Quality Estimation and Automatic Post-editing to Enhance Machine Translation output	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	26--38	http://www.aclweb.org/anthology/W18-1804	
inproceedings	Costanza Conforti; Matthias Huck; Alexander Fraser	Neural Morphological Tagging of Lemma Sequences for Machine Translation	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	39--53	http://www.aclweb.org/anthology/W18-1805	
inproceedings	Angli Liu; Katrin Kirchhoff	Context Models for OOV Word Translation in Low-Resource Languages	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	54--67	http://www.aclweb.org/anthology/W18-1806	
inproceedings	Georg Heigold; Stalin Varanasi; Günter Neumann; Josef van Genabith	How Robust Are Character-Based Word Embeddings in Tagging and MT Against Wrod Scramlbing or Randdm Nouse?	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	68--80	http://www.aclweb.org/anthology/W18-1807	
inproceedings	Pintu Lohar; Haithem Afli; Andy Way	Balancing Translation Quality and Sentiment Preservation (Non-archival Extended Abstract)	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	81--88	http://www.aclweb.org/anthology/W18-1808	
inproceedings	Tak-sum Wong; John Lee	Register-sensitive Translation: a Case Study of Mandarin and Cantonese (Non-archival Extended Abstract)	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	89--96	http://www.aclweb.org/anthology/W18-1809	
inproceedings	Duygu Ataman; Marcello Federico	An Evaluation of Two Vocabulary Reduction Methods for Neural Machine Translation	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	97--110	http://www.aclweb.org/anthology/W18-1810	
