author	title	booktitle	month	year	address	publisher	pages	url	note
	Translation Quality Estimation and Automatic Post-Editing Workshop	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (AMTA 2018)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-21	Entire Volume
	Front Matter	Translation Quality Estimation and Automatic Post-Editing	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-2100	Front Matter
Nicola Ueffing	Automatic Post-Editing and Machine Translation Quality Estimation at eBay	Translation Quality Estimation and Automatic Post-Editing	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--34	http://www.aclweb.org/anthology/W/W18/W18-2101	
Rebecca Knowles; Philipp Koehn	Lightweight Word-Level Confidence Estimation for Neural Interactive Translation Prediction	Translation Quality Estimation and Automatic Post-Editing	March	2018	Boston, MA	Association for Machine Translation in the Americas	35--40	http://www.aclweb.org/anthology/W/W18/W18-2102	
João Graça	Unbabel: How to combine AI with the crowd to scale professional-quality translation	Translation Quality Estimation and Automatic Post-Editing	April	2019	Boston, MA	Association for Machine Translation in the Americas	41--85	http://www.aclweb.org/anthology/W/W18/W18-2103	
Maxim Khalilov	Machine translation at Booking.com: what's next? 	Translation Quality Estimation and Automatic Post-Editing	May	2020	Boston, MA	Association for Machine Translation in the Americas	86--143	http://www.aclweb.org/anthology/W/W18/W18-2104	
Marcin Junczys-Dowmunt 	Are we experiencing the Golden Age of Automatic Post-Editing?	Translation Quality Estimation and Automatic Post-Editing	June	2021	Boston, MA	Association for Machine Translation in the Americas	144--206	http://www.aclweb.org/anthology/W/W18/W18-2105	
Marcello Federico	Challenges in Adaptive Neural Machine Translation	Translation Quality Estimation and Automatic Post-Editing	July	2022	Boston, MA	Association for Machine Translation in the Americas	207--242	http://www.aclweb.org/anthology/W/W18/W18-2106	
Eleftherios Avramidis; Vivien Macketanz; Arle Lommel; Hans Uszkoreit 	Fine-grained evaluation of Quality Estimation for Machine translation based on a linguisticallymotivated Test Suite 	Translation Quality Estimation and Automatic Post-Editing	August	2023	Boston, MA	Association for Machine Translation in the Americas	243--248	http://www.aclweb.org/anthology/W/W18/W18-2107	
Rebecca Knowles; John E. Ortega; Philipp Koeh	A Comparison of Machine Translation Paradigms for Use in Black-Box Fuzzy-Match Repair	Translation Quality Estimation and Automatic Post-Editing	September	2024	Boston, MA	Association for Machine Translation in the Americas	249--255	http://www.aclweb.org/anthology/W/W18/W18-2108	
