bibtype	author	title	booktitle	month	year	address	publisher	pages	url	note
book		MT Users’ Track	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-19	Entire Volume
inproceedings		Front Matter	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-1900	Front Matter
inproceedings	Macduff Hughes	Keynote: Machine Translation Beyond the Sentence	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-1901	Keynote not in collective proceeding
inproceedings	Carl Rubino	Keynote: Setting up a Machine Translation Program for IARPA	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-1902	Keynote not in collective proceeding
inproceedings	Glen Poor	Keynote: Use more Machine Translation and Keep Your Customers Happy	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W/W18/W18-1903	Keynote not in collective proceeding
inproceedings	Jennifer DeCamp	Technology Showcase and Presentations	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--4	http://www.aclweb.org/anthology/W/W18/W18-1904	Tech Showcase
inproceedings	Arle Lommel	Augmented Translation: A New Approach to Combining Human and Machine Capabilities	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	5--12	http://www.aclweb.org/anthology/W/W18/W18-1905	Commercial Track
inproceedings	Jean-Luc Saillard	Training, feedback and productivity measurement with NMT and Adaptive MT	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	13--27	http://www.aclweb.org/anthology/W/W18/W18-1906	Commercial Track
inproceedings	Don DePalma	The Collision of Quality and Technology with Reality	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	28--34	http://www.aclweb.org/anthology/W/W18/W18-1907	Commercial Track
inproceedings	Gema Ramírez-Sánchez; Janice Campbell	Same-language machine translation for local flavours/flavors	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	35--53	http://www.aclweb.org/anthology/W/W18/W18-1908	Commercial Track
inproceedings	Phil Soldini	Thinking of Going Neural? Factors Honda R&D Americas is Considering before Making the Switch	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	54--71	http://www.aclweb.org/anthology/W/W18/W18-1909	Commercial Track
inproceedings	Mārcis Pinnis; Rihards Kalnins	Developing a Neural Machine Translation Service for the 2017-2018 European Union Presidency	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	72--83	http://www.aclweb.org/anthology/W/W18/W18-1910	Commercial Track
inproceedings	Alex Yanishevsky	Neural Won! Now What?	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	84--112	http://www.aclweb.org/anthology/W/W18/W18-1911	Commercial Track
inproceedings	José Luis Bonilla Sánchez	MT for L10n: How we build and evaluate MT systems at eBay	Proceedings of the 13th Conference of the Association for Machine Translation in the Americas (Volume 2: User Papers)	March	2018	Boston, MA	Association for Machine Translation in the Americas	113--149	http://www.aclweb.org/anthology/W/W18/W18-1912	Commercial Track
